,Figurative RT,Figurative Target,Literal RT,Literal Target,Unrelated RT,Unrelated Target,Model Sentence
iemand op de huid zitten,530.9615384615,achtervolgen,517.7569642857,uitslag,540.0130740741,doorbraak,zat iemand op de huid
het niet breed hebben,555.5593928571,armoede,625.2101153846,wijd,597.0416206897,grapje,heeft het niet breed
iemand wakker schudden,560.8392068966,zeggen,574.9191034483,overdag,624.6178571429,bellen,schudde iemand wakker
iets uit je duim zuigen,584.117137931,onzin,531.3776296296,vuist,511.4173076923,knoop,zuigt iets uit haar duim
aan een zijden draadje hangen,583.86904,bedreigd,589.49325,lint,543.8790344828,zaaien,hangt aan een zijden draadje
als paddenstoelen uit de grond schieten,523.2512333333,verschijnen,595.3246551724,terrein,525.778862069,opmerking,schoten als paddenstoelen uit de grond
één lijn trekken,544.84475,hetzelfde,577.984037037,tekening,561.6224444444,vloeistof,trokken één lijn
iemand aan de tand voelen,488.7004827586,vraag,597.4270833333,kaak,603.1843214286,soort,voelde iemand aan de tand
voor aap staan,547.9830666667,raar,592.1563448276,staart,591.2890689655,wraak,staat voor aap
voor iemand door het vuur gaan,521.7992592593,steun,619.0474444444,vonk,574.90875,kluis,ging voor iemand door het vuur
iets van tafel vegen,574.9031071429,afwijzen,531.2311724138,eetkamer,565.1965666667,noodzaak,veegde iets van tafel
aan het roer staan,532.33975,baas,546.0268571429,schip,570.0382758621,trouw,staat aan het roer
ergens zijn neus voor optrekken,580.2026333333,verwaand,561.4231153846,zakdoek,598.3581481481,bekwaam,trekt ergens haar neus voor op
het hoofd koel houden,585.0278571429,beheerst,537.9797666667,ijskast,560.6949259259,luier,hield het hoofd koel
iets tot in de wolken verheffen,511.9246296296,prijzen,547.87188,onweer,632.6581428571,staken,verheft iets tot in de wolken
met de rug tegen de muur staan,487.5470344828,keuze,521.7522758621,verf,557.9563793103,hoed,staat met de rug tegen de muur
iets uit de losse pols doen,601.934137931,makkelijk,532.0386785714,hartslag,562.5604137931,schaamte,deed iets uit de losse pols
geen hart in het lijf hebben,583.84175,wreed,517.1617142857,lichaam,536.86696,sleutel,heeft geen hart in het lijf
de mouwen opstropen,608.2545172414,klus,586.6268518519,trui,591.8737777778,voer,stroopt de mouwen op
op zijn centen zitten,563.9996206897,zuinig,525.4941071429,verkoop,557.6673793103,spijker,zit op haar centen
ergens mee in de maag zitten,503.2776296296,onzeker,663.1808518519,ingewanden,579.835962963,oefening,zat ergens mee in de maag
iemand tegen de schenen schoppen,607.0518571429,kwetsen,504.3646153846,enkels,550.8244814815,druppel,schopte iemand tegen de schenen
op het puntje van de tong liggen,499.9071034483,woord,522.8185357143,speeksel,535.3188928571,winkel,ligt op het puntje van de tong
iets op poten zetten,537.8426206897,opbouwen,677.549,kruk,624.54012,boffen,zette iets op poten
iemand de wet voorschrijven,553.179,bepalen,553.4766785714,overheid,518.2539666667,goedheid,schreef iemand de wet voor
de koe bij de hoorns vatten,534.3951724138,aanpakken,553.47525,duivel,531.5251034483,schaken,vat de koe bij de hoorns
iemand iets in de schoenen schuiven,583.5396923077,verwijt,483.24,voeten,590.3883214286,vulling,schoof iemand iets in de schoenen
tussen twee vuren zitten,578.1768214286,bedreiging,627.2910357143,vlam,582.9108518519,rijkdom,zit tussen twee vuren
